station,date,type,name,remarks
MSTR,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
MSTR,2014-09-26T00:00Z,REC,LEICA GR25          , 
MSTR,2016-07-08T00:00Z,REC,LEICA GR50          , 
MSTR,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
MSTR,2014-09-26T00:00Z,ANT,LEIAR20+S10     LEIM, 
NIEU,2008-05-09T10:37Z,REC,TPS ODYSSEY_E       ,Removed duplicates
NIEU,2014-09-20T00:00Z,REC,TPS EG3_OEM         , 
NIEU,2015-12-31T00:00Z,REC,TPS E_GGD           , 
NIEU,2016-03-22T00:00Z,REC,TPS NET-G5          , 
NIEU,2016-08-02T00:00Z,REC,TPS E_GGD           , 
NIEU,2016-12-17T00:00Z,REC,TPS NET-G5          , 
NIEU,2018-01-27T00:00Z,REC,TPS E_GGD           , 
NIEU,2018-10-08T00:00Z,REC,TPS NET-G5          ,Added by HM
NIEU,2008-05-09T10:37Z,ANT,TPSCR.G3        TPSH, 
NIEU,2015-11-29T00:00Z,   ,TPSCR.G5        TPSH,Date according to refcheck report.
NIEU,2015-12-31T00:00Z,ANT,TPSCR.G5        TPSH, 
NORG,2014-02-17T15:08Z,REC,TPS EG3_OEM         , 
NORG,2014-02-17T15:08Z,ANT,TPSCR.G5        TPSH, 
OLDE,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
OLDE,2014-11-01T00:00Z,REC,LEICA GR25          , 
OLDE,2016-08-31T00:00Z,REC,LEICA GR50          , 
OLDE,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
OLDE,2014-11-01T00:00Z,ANT,LEIAR20+S10     LEIM, 
ONSA,2007-01-01T00:00Z,REC,JPS E_GGD           , 
ONSA,2015-05-06T00:00Z,REC,JAVAD TRE_G3TH DELTA, 
ONSA,2007-01-01T00:00Z,ANT,AOAD/M_B        OSOD, 
ONSA,2013-08-29T00:00Z,ANT,AOAD/M_B        NONE, 
ONSA,2013-11-08T00:00Z,ANT,AOAD/M_B        OSOD, 
OVER,2014-02-24T10:43Z,REC,TPS EG3_OEM         , 
OVER,2014-02-24T10:43Z,ANT,TPSCR.G5        TPSH, 
POTS,2007-01-01T00:00Z,REC,AOA SNR-8000 ACT    , 
POTS,2009-03-31T00:00Z,REC,SEPT POLARX2        , 
POTS,2011-02-16T00:00Z,REC,JAVAD TRE_G3TH DELTA, 
POTS,2007-01-01T00:00Z,ANT,AOAD/M_T        NONE, 
POTS,2011-02-16T00:00Z,ANT,JAV_RINGANT_G3T NONE, 
RDAM,2008-11-10T16:06Z,REC,TPS ODYSSEY_E       , 
RDAM,2016-07-27T00:01Z,REC,LEICA GR50          , 
RDAM,2008-11-10T16:06Z,ANT,TPSCR.G3+M2     TPSH, 
RIL2,2012-07-18T12:45Z,REC,TPS ODYSSEY_E       , 
RIL2,2016-09-10T00:00Z,REC,LEICA GR50          , 
RIL2,2012-07-18T12:45Z,ANT,NAX3G+C+M       NONE, 
RIL2,2015-08-14T05:29Z,ANT,LEIAR20+S10     LEIM, 
RILL,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
RILL,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
ROE2,2011-08-29T15:16Z,REC,TPS ODYSSEY_E       , 
ROE2,2016-07-29T00:00Z,REC,TRIMBLE NETR9       , 
ROE2,2011-08-29T15:16Z,ANT,TPSCR.G3+M2     TPSH, 
ROER,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
ROER,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
SASG,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
SASG,2014-10-16T00:00Z,REC,LEICA GR25          , 
SASG,2016-08-31T00:00Z,REC,TRIMBLE NETR9       , 
SASG,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
SASG,2014-10-16T00:00Z,ANT,LEIAR20+S10     LEIM, 
SCH1,2006-05-02T00:00Z,REC,TPS GB-1000         ,Modif by HM
SCH1,2012-01-29T00:00Z,REC,TPS EG3_OEM         , 
SCH1,2006-05-02T00:00Z,ANT,TPSCR3_GGD      CONE,Modif by HM
SCHI,2005-09-20T00:00Z,REC,TPS ODYSSEY_E       , 
SCHI,2014-09-03T00:00Z,REC,LEICA GR25          , 
SCHI,2016-07-13T00:00Z,REC,LEICA GR50          , 
SCHI,2005-09-20T00:00Z,ANT,TPSPG_A1+M      NONE, 
SCHI,2011-08-04T00:00Z,ANT,TPSCR.G3        TPSH, 
SCHI,2008-05-30T00:00Z,DPL,                    ,Added 25 sep 2019 by HM
SDYK,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
SDYK,2016-10-06T00:00Z,REC,TRIMBLE NETR9       , 
SDYK,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
SDYK,2015-05-23T00:00Z,ANT,LEIAR20+S10     LEIM, 
STAV,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
STAV,2016-07-20T00:00Z,REC,LEICA GR50          , 
STAV,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
STAV,2015-06-30T00:00Z,ANT,LEIAR20+S10     LEIM, 
STED,2014-03-31T12:38Z,REC,TPS EG3_OEM         , 
STED,2014-03-31T12:38Z,ANT,TPSCR.G5        TPSH, 
TAPL,2009-12-10T16:04Z,REC,TPS ODYSSEY_E       , 
TAPL,2014-09-05T00:00Z,REC,LEICA GR25          , 
TAPL,2016-08-12T00:00Z,REC,LEICA GR50          , 
TAPL,2009-12-10T16:04Z,ANT,TPSCR.G3+M2     TPSH, 
TENA,2017-06-08T11:48Z,REC,TPS EG3_OEM         , 
TENA,2017-06-08T11:48Z,ANT,TPSCR.G3        TPSH, 
TENP,2013-03-18T14:26Z,REC,TPS EG3_OEM         , 
TENP,2013-03-18T14:26Z,ANT,TPSCR.G5        TPSH, 
TERN,2016-11-17T12:06Z,REC,TPS EG3_OEM         , 
TERN,2016-11-17T12:06Z,ANT,TPSCR.G5        TPSH, 
TERS,1996-10-30T14:00Z,REC,ROGUE SNR-12 RM     ,Added by HM
TERS,2000-04-27T10:50Z,REC,TRIMBLE 4700        ,Modif by HM
TERS,2008-09-16T07:30Z,REC,TPS ODYSSEY_E       , 
TERS,2013-08-30T00:00Z,REC,SEPT POLARX4        , 
TERS,1996-10-30T14:00Z,ANT,AOAD/M_T        DUTD, 
TERS,2000-04-27T10:50Z,ANT,TRM29659.00     UNAV, 
TERS,2004-03-24T14:30Z,ANT,TRM29659.00     UNAV, 
TERS,2014-06-07T14:30Z,ANT,LEIAR25.R4      LEIT, 
TJUC,2014-02-21T10:58Z,REC,TPS EG3_OEM         , 
TJUC,2014-02-21T10:58Z,ANT,TPSCR.G5        TPSH, 
TSCH,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
TSCH,2007-01-01T00:00Z,ANT,TPSCR3_GGD+M    CONE, 
TSCH,2008-11-19T00:00Z,ANT,TPSCR.G3+M2     TPSH, 
TXE2,2014-06-16T00:00Z,REC,LEICA GR25          , 
TXE2,2016-08-09T00:00Z,REC,TRIMBLE NETR9       , 
TXE2,2014-06-16T00:00Z,ANT,LEIAR25.R4      LEIT, 
TXEL,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
TXEL,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
URK2,2011-11-13T00:00Z,REC,TPS GB-1000         ,Removed duplicates
